text_without_tags,freq
в настоящее время,56535
в тот число,53867
в зависимость от,31114
в то же,25023
то же время,24744
и том далее,19867
в отличие от,18387
в свой очередь,16542
в один очередь,15432
мм рт ст,14986
тот или иной,14143
следовать отметить что,13569
с точка зрение,13226
на сегодняшний день,11742
что приводить к,11139
тот число и,10765
с другой сторона,10516
в доза мг,9959
в российский федерация,8912
в сыворотка кровь,8624
в большинство случай,8554
а также в,8182
в клинический практика,7949
свидетельствовать о тот,7784
мочь привести к,7692
тот факт что,7661
до сей пора,6941
для тот чтобы,6307
мочь быть использовать,6205
мочь приводить к,5957
в больший степень,5769
мочь быть связать,5609
не мочь быть,5608
который мочь быть,5529
в плазма кровь,5473
фактор риска развитие,5454
до настоящий время,5369
приводить к снижение,5300
по крайний мера,5212
начало х год,5151
настоящее время в,5105
ишемический болезнь сердце,5064
на наш взгляд,4963
тот число в,4836
кроме тот в,4818
играть важный роль,4804
необходимый отметить что,4765
к настоящий время,4751
а также с,4533
в послеоперационный период,4467
такой образ в,4385
по данные литература,4206
на тысяча население,4112
в раз выше,4069
на ранний стадия,4049
не зависеть от,4021
в течение мес,4013
в общий популяция,3917
можно предположить что,3829
фактор влиять на,3820
в результат что,3819
в последний десятилетие,3807
что свидетельствовать о,3772
мочь быть обусловить,3754
колебаться от до,3621
речь идти о,3571
приводить к увеличение,3532
вне зависимость от,3450
в конечный итог,3378
а также при,3336
на душить население,3282
по данные и,3247
и тем самый,3234
избыточный масса тело,3232
важный отметить что,3222
в полный мера,3190
доза мг сут,3188
а также на,3187
в контрольный группа,3149
приводить к развитие,3090
на фон приём,3037
конец х год,3010
центральный нервный система,2956
оказывать влияние на,2908
артериальный давление ада,2898
частота сердечный сокращение,2890
по данные исследование,2873
и мочь быть,2858
и приводить к,2835
в начало х,2820
варьировать от до,2806
рак молочный железа,2761
в меньший степень,2759
раз выше чем,2759
важный роль в,2739
хронический сердечный недостаточность,2728
сд го тип,2721
который приводить к,2720
с контрольный группа,2695
качество жизнь пациент,2656
субъект российский федерация,2639
в развитый страна,2632
не приводить к,2605
хронический болезнь почка,2592
не отличаться от,2590
исследование свидетельствовать о,2561
на данный момент,2553
и такой образ,2521
середина х год,2520
что мочь быть,2489
тесно связать с,2453
острый инфаркт миокард,2450
стоить отметить что,2450
активный форма кислород,2447
тогда как в,2436
в течение нед,2422
российский федерация в,2419
острый коронарный синдром,2414
так по данные,2402
на мм рт,2395
в раз чаща,2353
доза мг килограмм,2339
по данные разный,2336
а также для,2332
с повышенный риск,2291
до наш э,2291
дать свидетельствовать о,2290
выше чем у,2279
артериальный гипертензия ага,2269
плата дпереть мство,2265
в конечный счёт,2261
сахарный диабет тип,2257
это приводить к,2245
можно рассматривать как,2232
фактор некроз опухоль,2231
тот число с,2222
в конец х,2177
на экономический рост,2167
независимый фактор риска,2156
индекс масса тело,2144
по данные ряд,2136
обусловить тем что,2126
не вызывать сомнение,2110
выше чем в,2101
исследование быть включить,2058
хронический обструктивный болезнь,2053
приводить к уменьшение,2048
возраст старший год,2046
сердечно-сосудистый заболевание ссз,2038
приводить к повышение,2017
нарушение мозговой кровообращение,2014
это мочь быть,2011
на первое этап,1993
реальный клинический практика,1992
в настоящий момент,1991
том е в,1991
автор считать что,1990
мочь рассматриваться как,1978
в два половина,1918
уровень возрастать неблагоприятный,1907
возрастать неблагоприятный прогноз,1907
в периферический кровь,1892
это означать что,1884
артериальный гипертония ага,1884
на начальный этап,1872
быть включить пациент,1869
в литература иметься,1853
орган государственный власть,1846
оказание медицинский помощь,1839
который представлять себя,1818
настоящее время не,1812
что вести к,1812
можно сделать вывод,1809
на самый дело,1801
а также они,1801
имт килограмм метр,1784
ранний послеоперационный период,1775
год прошлое век,1773
орган исполнительный власть,1766
цель настоящий исследование,1757
мочь влиять на,1755
нарушение ритм сердце,1744
и а также,1743
скф мл мина,1742
и качество жизнь,1742
цель настоящий работа,1735
в научный литература,1733
на рынок труд,1733
по данные различный,1718
