text,freq
ад мм рт ст,1997
ишемической болезни сердца ибс,1783
р р р р,1529
скф мл мин м,1373
сад мм рт ст,1364
ил ил ил ил,1305
соавт соавт соавт соавт,1249
дад мм рт ст,1203
сердечно сосудистых заболеваний ссз,1181
мм час мг дл,1059
хронической сердечной недостаточности хсн,991
т б л ц,987
ме й й перцентили,977
ткань уровень возрастает неблагоприятный,976
уровень возрастает неблагоприятный прогноз,931
ишемической болезнью сердца ибс,927
является независимым фактором риска,838
н д н д,836
мг дл мм час,825
хроническая обструктивная болезнь легких,725
ишемическая болезнь сердца ибс,687
детей первого года жизни,669
согласно которому обратная величина,648
народного хозяйства государственной службы,604
д м н профессор,600
среди мужчин среди женщин,599
данным всемирной организации здравоохранения,577
индекс массы тела имт,577
обратная величина гра см,576
фактора некроза опухоли фно,555
российской академии народного хозяйства,542
менее мм рт ст,530
государственной службы президенте рф,522
ммоль сут г сут,522
неблагоприятный прогноз ткань уровень,521
магнитно резонансной томографии мрт,521
федеральных органов исполнительной власти,520
фракция выброса левого желудочка,515
хронической обструктивной болезни легких,514
пдкв см вод ст,487
наши данные болгария наши,480
данные болгария наши данные,480
больных острым коронарным синдромом,474
автор ответственный переписку тел,472
скорости клубочковой фильтрации скф,469
рт ст дад мм,469
метод наименьших квадратов принимается,468
страны доходы населения составляющи,468
см см медиальный сегмент,465
см см базальный сегмент,465
генно инженерных биологических препаратов,460
системы ипэи российской академии,456
развития налоговой системы ипэи,456
всемирной организации здравоохранения воз,450
подвесок трассе м расстояние,437
точками подвеса ленты рассчитанное,437
м расстояние точками подвеса,437
естественного откоса груза град,437
м угол естественного откоса,437
стран доход коэффициент джини,432
историческая социально образовательная мысль,430
наклона горизонту бортов ленты,428
бортов ленты рассчитанный зависимости,428
площадь поперечного сечения относительных,428
является фактором риска развития,426
индекс массы тела кг,423
белорусский национальный технический университет,423
возрасте лет средний возраст,422
болгария наши данные болгария,420
российской федерации период года,417
риска развития сердечно сосудистых,415
риск развития сердечно сосудистых,415
общий холестерин ммоль л,415
сердечно сосудистые заболевания ссз,413
сахарный диабет го типа,410
полимеразной цепной реакции пцр,410
фактор некроза опухоли фно,405
риска сердечно сосудистых осложнений,400
хронической обструктивной болезнью легких,396
соэ мм ч срб,395
оптимизации мк нсприводной подвески,394
м угол наклона горизонту,394
расчетная м пшаг установки,394
расчета ндс оптимизации мк,394
груза град грскорость транспортирования,394
пшаг установки подвесок трассе,394
грскорость транспортирования расчетная м,394
сумме инвестиций тыс руб,392
хронической сердечной недостаточностью хсн,389
сердечно сосудистых осложнений ссо,387
больных сд го типа,382
ммоль л ме ии,380
риска сердечно сосудистых заболеваний,378
ренин ангиотензин альдостероновой системы,378
хронической болезни почек хбп,376
л хс лпнп ммоль,376
целью настоящей работы является,373
желудочно кишечного тракта жкт,373
магнитно резонансная томография мрт,372
класс рекомендаций уровень доказательности,371
плотность транспортируемого груза т,369
стороны желудочно кишечного тракта,368
конце х начале х,367
охс ммоль л хс,365
неблагоприятных сердечно сосудистых событий,362
власти субъектов российской федерации,361
таким образом настоящее время,359
хроническая сердечная недостаточность хсн,357
центральной нервной системы цнс,357
л хс лпвп ммоль,356
нестероидные противовоспалительные препараты нпвп,356
сердечно сосудистой заболеваемости смертности,353
пг мл пг мл,351
имт индекс массы тела,350
атомы водорода добавляли струк,350
острое нарушение мозгового кровообращения,349
отделении реанимации интенсивной терапии,347
заболеваний сердечно сосудистой системы,345
ч срб мг л,343
возрастает неблагоприятный прогноз маркер,342
пациентов сд го типа,341
дис канд психол наук,340
ибс ишемическая болезнь сердца,339
зарплат женщины источник премия,336
разрыв зарплат мужчины разрыв,336
результаты страна разрыв зарплат,336
п п п п,336
мужчины разрыв зарплат женщины,336
ммоль л ммоль л,334
стратегическом планировании российской федерации,332
тела имт кг м,331
добавляли струк туре бел,330
вестник кемеровского государственного университета,330
источник премия австрия др,329
хс лпнп ммоль л,329
груза т м угол,326
м объемная плотность транспортируемого,326
отрицательное всей выборки отрицательное,324
человеческий капитал отрицательное всей,324
стран доход землевладен ие,324
землевладен ие коэффициент джини,324
доход отрицательное всей выборки,324
ниже мм рт ст,322
бельгия др великобритания великобритания,322
австрия др бельгия др,322
канада канада кипр франция,322
великобритания канада канада канада,322
мужчин женщин великобритания канада,322
государственном секторе мужчин женщин,322
великобритания великобритания государственном секторе,322
слизистой оболочки полости рта,320
базальный сегмент боковой стенки,320
обозначениетехническая характеристикавеличина единица измерения,317
двухшаговый метод наименьших квадратов,317
мужчин женщин возрасте лет,316
федеральной службы государственной статистики,316
частоты сердечных сокращений чсс,316
кипр франция франция др,315
фактор роста эндотелия сосудов,315
процессов перекисного окисления липидов,314
проблемы особо опасных инфекций,314
медиальный сегмент боковой стенки,313
целью настоящего исследования явилось,312
населения составляющи е квантили,312
массы миокарда левого желудочка,312
землевладени ю метод наименьших,312
возрасте лет возрасте лет,312
наименьших квадратов двухшаговый метод,312
избыточной массой тела ожирением,312
х годах прошлого века,311
лпвп ммоль л хс,311
микро рнк микро рнк,309
пациентов старшей возрастной группы,309
мес мес мес мес,309
фракции выброса левого желудочка,309
германия др греция греция,308
франция др германия др,308
хозяйства государственной службы президенте,304
академии народного хозяйства государственной,304
больных ишемической болезнью сердца,303
греция др индия ирландия,301
индия ирландия др италия,301
др италия италия италия,301
греция греция греция др,301
влияния неравенства экономический рост,300
активных форм кислорода афк,297
туре бел атомы водорода,295
италия италия др португалия,294
сахарного диабета го типа,290
исследования последних лет показали,289
ф нансово зв тност,289
стороны сердечно сосудистой системы,289
сахарным диабетом го типа,288
др португалия др словения,287
пациентов острым коронарным синдромом,287
частном секторе мужчин женщин,287
лиц пожилого старческого возраста,286
нанодиски нанопроволоки др сожа,285
больных перенесших инфаркт миокарда,284
группа группа группа группа,283
фактора некроза опухоли альфа,283
хсн хроническая сердечная недостаточность,283
мг дл ммоль л,283
мг кг мг кг,283
избыточная масса тела ожирение,281
выше мм рт ст,280
др испания испания испания,280
др словения др испания,280
оценку ин правилу пяти,280
смертности сердечно сосудистых заболеваний,277
правилу пяти липинского оценку,275
мг кг массы тела,274
приложенное приводной подвеске стороны,274
испания испания др премия,273
федеральным законом стратегическом планировании,273
турция работники публичного сектора,273
мужчины женщины зарабатывают австрии,273
украина югославия россия россия,273
шарунина премия частном секторе,273
мужчин женщин польша россия,273
финляндия финляндия мужчины германия,273
мужчины германия германия греция,273
россия россия шарунина премия,273
публичного сектора мужчины женщины,273
германия греция турция работники,273
частном секторе мужчин государственном,273
др премия частном секторе,273
польша россия украина югославия,273
высоким сердечно сосудистым риском,273
мужчин государственном женщин австралия,273
ммоль л мг дл,271
минеральной плотности костной ткани,271
работа выполнена финансовой поддержке,267
индекса массы тела имт,267
женщин австралия великобритания др,266
искусственной вентиляции легких ивл,266
великобритания др финляндия финляндия,266
зарабатывают австрии др бельгии,266
сад дад мм рт,265
м лраспределенная нагрузка ленты,265
мм ч срб мг,265
развития острого почечного повреждения,264
доходам метод наименьших квадратов,264
возрастает неблагоприятный прогноз ткань,263
прогноз ткань уровень возрастает,263
ассоциация популяция объем выборки,263
аллель обнаруженная ассоциация популяция,263
острого нарушения мозгового кровообращения,263
больных острым инфарктом миокарда,263
органов государственной власти субъектов,261
л тг ммоль л,261
ин правилу пяти липинского,260
липинского оценку ин правилу,260
перекисного окисления липидов пол,260
ме ии гл ммоль,260
др канаде великобритании греции,259
др бельгии др канаде,259
целью данной работы является,258
больных сахарным диабетом типа,257
рскф мл мин м,257
холестерина липопротеидов низкой плотности,256
острого респираторного дистресс синдрома,256
возрастанием риска разви тия,255
нг мл нг мл,255
продуктов перекисного окисления липидов,255
двойное слепое плацебо контролируемое,253
условиях реальной клинической практики,253
стратегия информационной безопасности малайзия,252
фз принятым июня г,252
информационно коммуникационных технологий публичной,252
осуществляется очень разному современной,252
популяции северных оленей китай,252
стратегия уменьшения выбросов парниковых,252
великий шелковый путь стратегия,252
дорожные стратегии углеводородная стратегия,252
стратегия национальной безопасности цифровая,252
стратегия регенерации зданий стратегия,252
профилактики стратегия борьбы спидом,252
алкогольная стратегия стратегии контроля,252
экологическая стратегия франция программа,252
стратегия финансовой грамотности лесная,252
видно реализация принципов стратегического,252
искусственного интеллекта стратегия электронного,252
путь стратегия инновационного развития,252
стратегия стратегия искусственного интеллекта,252
канада стратегия устойчивого развития,252
наводнений береговой эрозии местные,252
стратегия великобритания индустриальная стратегия,252
безопасности малайзия административная реформа,252
