text,freq
мм рт ст,11288
сердечно сосудистой системы,4619
сердечно сосудистых заболеваний,4581
сердечно сосудистых осложнений,3845
желудочно кишечного тракта,2487
сд го типа,2212
сердечно сосудистых событий,2208
социально экономического развития,2176
дозе мг сут,2080
ишемической болезни сердца,2009
е см см,1906
сердечно сосудистого риска,1851
имт кг м,1814
сравнению контрольной группой,1735
данным разных авторов,1625
детей возрасте лет,1614
играет важную роль,1547
сердечно сосудистые заболевания,1523
центральной нервной системы,1497
развития сердечно сосудистых,1493
начале х гг,1455
сердечно сосудистой смертности,1447
мл мин м,1383
раннем послеоперационном периоде,1380
сердечно сосудистой патологии,1358
артериального давления ад,1341
средний возраст лет,1327
рака молочной железы,1326
активных форм кислорода,1316
реальной клинической практике,1291
фактором риска развития,1275
детей раннего возраста,1262
заключение таким образом,1235
средний возраст года,1192
дозе мг кг,1184
р р р,1181
является фактором риска,1176
начале х годов,1150
ряде исследований показано,1149
ишемической болезнью сердца,1141
пациентов старше лет,1116
б л ц,1116
течение последних лет,1098
возрасте старше лет,1098
сердечно сосудистыми заболеваниями,1092
режиме реального времени,1091
биологически активных веществ,1073
данным ряда авторов,1068
верхних дыхательных путей,1053
той иной степени,1045
ишемическая болезнь сердца,1030
п дпри мства,1030
данной категории пациентов,1026
данной категории больных,1022
тех пор пока,1021
мнению ряда авторов,1007
лиц старше лет,971
источник составлено авторами,970
высоким риском развития,969
денежно кредитной политики,967
подавляющем большинстве случаев,967
факторов риска развития,965
хронической сердечной недостаточности,965
течение первого года,953
мг кг сут,950
течение длительного времени,948
ввп душу населения,913
см вод ст,904
играют важную роль,903
й й перцентили,900
оказания медицинской помощи,897
однако настоящее время,895
субъектов российской федерации,892
качество жизни пациентов,889
нашей точки зрения,887
возрасте лет старше,882
повышает риск развития,879
левого желудочка лж,855
исследования последних лет,852
ммоль сут г,847
территории российской федерации,841
имеет большое значение,832
больных сд типа,830
больных сахарным диабетом,816
российской федерации период,803
пациентов высоким риском,803
м н профессор,801
индекс массы тела,801
аналогичные результаты получены,800
настоящее время является,799
артериальная гипертензия аг,799
артериальной гипертензии аг,797
материалы методы исследования,796
развития российской федерации,792
лиц молодого возраста,789
одной основных причин,781
пациентов возрасте лет,766
рандомизированных клинических исследований,766
хронической болезни почек,766
настоящее время известно,758
следует иметь виду,750
