text,freq
у пациентов с,64625
по сравнению с,58724
в настоящее время,56342
в том числе,53307
у больных с,32206
в зависимости от,29954
в то же,24761
то же время,24492
и т д,19736
было показано что,18572
в то время,18407
тем не менее,18112
в отличие от,18034
то время как,16936
о том что,16744
в свою очередь,16376
в последние годы,15410
в первую очередь,15373
следует отметить что,13387
мм рт ст,13301
с точки зрения,12985
на сегодняшний день,11357
том числе и,10686
что приводит к,10674
с другой стороны,10404
с одной стороны,10314
в возрасте лет,9570
несмотря на то,9466
по отношению к,9439
в дозе мг,8861
в российской федерации,8710
в т ч,8571
в большинстве случаев,8463
в сыворотке крови,8257
в последнее время,8097
а также в,7945
у детей с,7764
и т п,7710
в этом случае,7702
в нашем исследовании,6752
до сих пор,6677
для того чтобы,6068
тот факт что,5934
в этой связи,5795
в большей степени,5747
было установлено что,5738
в данном случае,5705
при этом в,5556
и как следствие,5438
в клинической практике,5432
является одним из,5410
в плазме крови,5394
сердечно сосудистых заболеваний,5371
до настоящего времени,5357
в данной работе,5295
не только в,5069
на наш взгляд,4947
в ряде случаев,4931
в нашей стране,4910
настоящее время в,4870
по крайней мере,4846
в ряде исследований,4770
том числе в,4715
необходимо отметить что,4684
сердечно сосудистой системы,4646
в значительной степени,4630
в настоящей работе,4615
кроме того в,4592
это связано с,4480
к настоящему времени,4411
сердечно сосудистых осложнений,4349
в послеоперационном периоде,4317
свидетельствуют о том,4294
а также с,4176
по данным литературы,4166
таким образом в,4078
является одной из,4073
у больных ра,4048
может привести к,4009
в течение мес,3915
в течение года,3895
в одном из,3886
в общей популяции,3846
в результате чего,3793
у больных аг,3782
можно предположить что,3773
во всем мире,3771
с высоким риском,3725
на тыс населения,3687
в ряде работ,3555
в некоторых случаях,3549
у пациентов в,3440
не может быть,3440
в течение ч,3421
вне зависимости от,3405
исследования показали что,3379
в конечном итоге,3375
в течение дней,3346
у мужчин и,3269
приводит к снижению,3232
в е годы,3215
и тем самым,3185
за последние лет,3179
в полной мере,3172
по данным и,3152
у больных ибс,3093
важно отметить что,3092
в течение первых,3088
у детей в,3036
а также на,3027
на душу населения,3023
у женщин с,3021
на ранних стадиях,2995
в е гг,2927
в другом исследовании,2896
в настоящем исследовании,2866
может быть связано,2856
и у пациентов,2841
в начале х,2819
в контрольной группе,2816
в обеих группах,2810
но при этом,2804
той или иной,2770
у детей и,2759
тех или иных,2758
может приводить к,2757
в меньшей степени,2751
желудочно кишечного тракта,2741
что у пациентов,2737
того или иного,2723
колеблется от до,2703
у женщин в,2678
играет важную роль,2673
с контрольной группой,2633
сд го типа,2620
в х годах,2597
на данный момент,2557
в своей работе,2555
в развитых странах,2555
к тому же,2552
на фоне лечения,2548
в этой области,2545
а также при,2542
и таким образом,2521
что свидетельствует о,2518
в клиническую практику,2509
по нашему мнению,2458
в течение мин,2456
во время беременности,2444
в раза выше,2425
стоит отметить что,2418
дозе мг сут,2413
не только на,2405
было выявлено что,2390
сердечно сосудистых событий,2384
не зависит от,2376
в течение нескольких,2372
так по данным,2358
в течение нед,2352
на фоне терапии,2339
в разных странах,2326
и их обсуждение,2318
во всех случаях,2314
в данном исследовании,2307
свидетельствует о том,2306
у больных хобл,2293
и у больных,2293
что может быть,2288
за сч т,2286
а также для,2285
с высоким уровнем,2273
у больных в,2272
с повышенным риском,2272
тогда как в,2266
одной из причин,2262
могут быть использованы,2251
в конце х,2238
не только с,2228
на мм рт,2205
социально экономического развития,2202
важную роль в,2185
приводит к увеличению,2175
в одной из,2157
с реактивного белка,2148
по мнению авторов,2143
в конечном счете,2140
том числе с,2139
можно рассматривать как,2136
в последние десятилетия,2128
это приводит к,2123
до н э,2122
в этот период,2122
в той или,2121
не менее в,2116
ишемической болезни сердца,2115
в дополнение к,2115
что у больных,2109
приводит к развитию,2103
на современном этапе,2099
как видно из,2064
на экономический рост,2052
в течение последних,2050
от общего числа,2048
и приводит к,2046
на по сравнению,2040
в значительной мере,2037
в данной статье,1989
в настоящий момент,1975
чем у пациентов,1958
на первом этапе,1955
российской федерации в,1943
в х гг,1940
у пожилых пациентов,1937
по нашим данным,1936
в качестве примера,1935
при этом не,1922
с уч том,1915
за период гг,1904
в два раза,1889
однако несмотря на,1885
центральной нервной системы,1884
варьирует от до,1884
сердечно сосудистого риска,1863
у больных сд,1862
т е в,1855
выше чем в,1855
российской федерации на,1826
в нашем случае,1826
за последние годы,1825
на фоне приема,1821
в периферической крови,1809
это означает что,1793
в современных условиях,1781
на самом деле,1779
с риском развития,1768
не могут быть,1765
последние годы в,1760
показано что в,1759
принимая во внимание,1755
в нашей работе,1750
а также их,1749
в общем случае,1746
в тех случаях,1738
в клинических исследованиях,1728
в научной литературе,1721
на себя внимание,1715
в случае если,1714
в этом направлении,1712
от сердечно сосудистых,1711
имт кг м,1708
играют важную роль,1703
настоящее время не,1703
и может быть,1697
что ведет к,1692
по данным различных,1692
в течение месяцев,1689
не было выявлено,1687
и а также,1686
не приводит к,1683
не только для,1682
артериального давления ад,1676
вывод о том,1666
во многих случаях,1658
по состоянию на,1657
с этой целью,1654
по аналогии с,1644
было обнаружено что,1643
были получены в,1640
это может быть,1638
по данным исследования,1636
в раза чаще,1635
с сахарным диабетом,1634
в последнее десятилетие,1619
тех случаях когда,1611
и при этом,1609
у пациенток с,1607
прежде всего в,1607
у пациентов без,1603
в развивающихся странах,1598
с течением времени,1587
в детском возрасте,1585
речь идет о,1584
в подавляющем большинстве,1584
что несмотря на,1580
возрасте лет и,1572
дозе мг кг,1572
и соавт показали,1560
может быть использован,1557
у данной категории,1555
у здоровых лиц,1542
в литературе имеются,1534
было продемонстрировано что,1532
начале х гг,1529
сердечно сосудистые заболевания,1528
данные о том,1527
сердечно сосудистой смертности,1523
хорошо известно что,1516
в остром периоде,1515
мг раза в,1504
по всей видимости,1495
в качестве одного,1494
более высокий уровень,1494
в группе плацебо,1493
как один из,1491
у взрослых пациентов,1487
на е сутки,1485
до конца не,1484
соавт показали что,1481
развития сердечно сосудистых,1476
с низким уровнем,1474
можно разделить на,1473
как правило не,1472
ниже чем в,1468
в отдаленном периоде,1462
у мужчин с,1455
не выявлено ассоциаций,1454
в раз выше,1450
в санкт петербурге,1449
при температуре с,1448
в раннем послеоперационном,1442
с помощью метода,1441
раннем послеоперационном периоде,1440
не только от,1435
мл мин м,1429
рака молочной железы,1428
на рынке труда,1427
сердечно сосудистой патологии,1426
в возрасте старше,1426
факторов влияющих на,1419
одной стороны и,1419
известно что в,1419
не менее чем,1410
к выводу что,1407
российской федерации от,1406
чем у больных,1405
у женщин и,1404
в течение первого,1402
в течение суток,1394
и у женщин,1392
во время операции,1390
и прежде всего,1389
том случае если,1388
друг от друга,1385
может рассматриваться как,1379
активных форм кислорода,1376
было отмечено что,1374
были разделены на,1374
раза выше чем,1365
т д в,1360
к ним относятся,1357
по этой причине,1352
в течение длительного,1349
во время ик,1349
по некоторым данным,1344
мг кг в,1341
на две группы,1330
высоким риском развития,1329
в таком случае,1322
как было показано,1319
в течение недель,1318
одним из основных,1317
