text_without_tags,freq
а также,152701
в год,147265
пациент с,143331
у пациент,119469
и в,117786
у больной,111561
один из,107338
при это,94217
мочь быть,88855
в тот,86796
и др,83923
сравнение с,81008
так и,79728
в качество,73535
по данные,70740
тот что,69118
приводить к,68905
больной с,68538
в работа,67542
в течение,67063
по сравнение,64892
что в,62614
такой образ,61651
в случай,60362
связать с,58488
не только,57565
настоящее время,57350
в настоящее,56967
с помощь,56678
и соавт,56249
год в,55062
на основа,54410
тот число,54030
в который,53436
связь с,53021
от до,51626
но и,50062
в результат,49918
в частность,49343
в один,47700
показать что,47675
в исследование,47674
связанный с,46778
кроме тот,46401
в то,44343
в связь,44337
и другой,43684
за счёт,42829
в группа,42092
в вид,41509
показать что,40865
несмотря на,39550
у ребёнок,38564
зависимость от,38457
о тот,38030
на фон,37847
в рамка,37657
а в,37512
влияние на,37487
в россия,37469
с использование,37409
в свой,37002
в целое,35989
в этот,35563
в условие,34743
так как,34643
в соответствие,34611
соответствие с,34557
в раз,34472
в время,34114
в последний,33821
том е,32880
в процесс,32137
дать о,31642
российский федерация,31501
в зависимость,31399
в область,31278
не менее,31196
с учёт,30843
с другой,30775
в отношение,30390
в дать,30307
и том,30259
год и,29780
фактор риска,29575
исследование в,29408
и с,29342
отметить что,29149
и они,28851
зависеть от,28520
то же,28137
и на,27881
последний год,27861
то что,27517
быть показать,27499
в наш,27189
в это,27076
такой как,26878
до год,26838
свидетельствовать о,26746
представлять себя,26731
и не,26693
роль в,26656
который в,26012
из они,25911
точка зрение,25516
же время,25433
как в,25174
как и,24880
известно что,24637
не быть,24620
с тем,24593
тот же,24341
с цель,23621
подход к,23469
более высокий,23431
установить что,23415
в ряд,23386
как правило,23207
х год,23126
риск развитие,23120
и при,22987
в весь,22932
с высокий,22730
в возраст,22687
и он,22426
и или,22309
исследование и,22067
изменение в,22013
в период,21579
что при,21539
высокий уровень,21374
в в,21299
на уровень,21212
мм рт,21010
рт ст,20985
вместе с,20946
с это,20776
ответ на,20699
у женщина,20519
возраст год,20462
в кровь,20451
исследование быть,20439
на основание,20404
по мнение,20364
чем в,20315
который быть,20309
том далее,20150
для оценка,20132
влиять на,20092
отличие от,19994
в ход,19893
в основное,19736
результат исследование,19663
в среднее,19556
масса тело,19520
должный быть,19513
и соответственно,19433
и у,19244
и более,19089
в и,19033
только в,18970
отношение к,18893
в развитие,18852
тем что,18821
то время,18779
который мочь,18749
что у,18601
ребёнок с,18582
в отличие,18564
не мочь,18523
тем не,18508
в страна,18354
время как,18337
основать на,18302
работа в,18251
с год,18212
прежде всего,18060
инфаркт миокард,17957
пациент в,17880
связь между,17792
в состав,17743
головной мозг,17592
клинический исследование,17509
и для,17456
при использование,17414
и развитие,17395
год быть,17319
однако в,17211
в основа,17201
сахарный диабет,17182
на то,17055
в сша,16865
риска развитие,16792
чем у,16785
в общий,16747
то есть,16709
который являться,16688
свой очередь,16553
или иной,16493
в большинство,16361
сердечный недостаточность,16353
качество жизнь,16321
быть выявить,16305
в российский,16300
следовать отметить,16264
с в,16262
наряду с,16237
