,0,1
0,в то же время,15546
1,несмотря на то что,5828
2,свидетельствовать о тот что,4856
3,мочь быть связать с,3162
4,играть важный роль в,2603
5,в тот или иной,1966
6,то же время в,1631
7,в начало х год,1613
8,в доза мг сут,1602
9,в тот случай когда,1528
10,в раз выше чем,1507
11,исследование быть показать что,1425
12,следовать отметить что в,1384
13,по данные разный автор,1330
14,в доза мг килограмм,1259
15,мочь быть использовать для,1224
16,тем не менее в,1207
17,до сей пора не,1193
18,являться один из основный,1124
19,не выявить ассоциация с,1111
20,и соавт показать что,1090
21,в исследование быть включить,1046
22,в ранний послеоперационный период,1041
23,на мм рт ст,1007
24,в конец х год,955
25,в режим реальный время,872
26,в реальный клинический практика,860
27,в возраст старший год,842
28,в многое зависеть от,802
29,играть ключевой роль в,802
30,до настоящий время не,800
31,что мочь привести к,786
32,в подавлять большинство случай,753
33,мочь быть использовать в,753
34,до тот пора пока,733
35,в свой очередь приводить к,732
36,тот или иной степень,727
37,являться один из важный,722
38,прислать к вывод что,722
39,в раз чаща чем,717
40,являться один из наиболее,693
41,работа быть показать что,690
42,дать свидетельствовать о тот,684
43,в середина х год,665
44,по данные ряд автор,664
45,один из основный причина,636
46,раз выше чем в,629
47,с высокий риск развитие,617
48,можно сделать вывод что,615
49,на тысяча население в,613
50,в отделение интенсивный терапия,598
51,исследование свидетельствовать о тот,592
52,нестероидный противовоспалительный препарат нпвп,592
53,быть показать что при,585
54,с избыточный масса тело,574
55,исследование быть включить пациент,573
56,необходимый отметить что в,569
57,на территория российский федерация,569
58,говорить о тот что,561
59,случай на тысяча население,555
60,с начало х год,554
61,оказывать существенный влияние на,550
62,хронический обструктивный болезнь лёгкое,548
63,с нормальный масса тело,539
64,острый нарушение мозговой кровообращение,534
65,хронический обструктивный болезнь лёгкое хобласть,530
66,на сегодняшний день в,525
67,играть важный роль в,525
68,предположение о тот что,523
69,быть показать что в,519
70,позволять сделать вывод о,517
71,у лицо старший год,501
72,что мочь быть связать,497
73,являться тот факт что,493
74,приходить к вывод что,490
75,до мм рт ст,490
76,являться один из самый,485
77,с повышенный риск развитие,482
78,мм рт ст и,480
79,с сд го тип,478
80,то же время при,472
81,по крайний мера в,472
82,на протяжение многий год,465
83,и др к сож,464
84,ранее быть показать что,454
85,у пациент старший год,454
86,в основное за счёт,449
87,это мочь быть связать,446
88,быть показать что у,441
89,не отличаться от таковой,441
90,в раз большой чем,441
91,доза мг раз в,440
92,на трасса метр расстояние между точка подвес,437
93,расстояние между точка подвес лента рассчитать по,437
94,лента рассчитать по зависимость,437
95,раз выше чем у,434
96,далее метр наш профессор,433
97,год до наш э,431
98,который мочь быть использовать,428
99,в больший степень чем,427
100,в доза мг раз,422
101,генно-инженерный биологический препарат гибп,419
102,скф мл мина метр,414
103,являться фактор риска развитие,411
104,гипотеза о тот что,409
105,это обусловить тем что,404
106,в каждый конкретный случай,404
107,один из наиболее важный,403
108,исследование быть установить что,396
109,мм рт ст в,395
110,дать для расчёт ндс,394
111,для расчёт ндс и,394
112,и оптимизация мк нсприводной подвеска,394
113,метр угол естественный откос груз град грскорость,394
114,откос груз град грскорость транспортирование расчётный метр,394
115,транспортирование расчётный метр с,394
116,с пшаг установка подвеска,394
117,пшаг установка подвеска на трасса метр,394
118,ля ция эк с,392
119,с прес сей груп пы,392
120,в дп дно до,391
121,с середина х год,390
122,на ранний стадия заболевание,388
123,и мм рт ст,387
124,тот факт что в,387
125,и тот факт что,385
126,по данные некоторый автор,384
127,начало х год в,381
128,менее мм рт ст,381
129,следовать также отметить что,376
130,можно сделать вывод о,373
131,год средний возраст год,369
132,избыточный масса тело и,366
133,га ткф га ткф га ткф га ткф,364
134,мочь приводить к развитие,362
135,ишемический болезнь сердце и,359
136,хронический болезнь почка хбп,356
137,с конец х год,352
138,мочь оказывать влияние на,351
139,транспортировать груз том метр угол естественный,351
140,метр лраспределенный нагрузка от лента наш,351
141,к горизонт борт лента рассчитать по,351
142,к приводной подвеска с,351
143,что мочь приводить к,350
144,но тем не менее,349
145,и только тогда когда,348
146,в многий страна мир,347
147,являться один из ключевой,346
148,тот или иной вид,346
149,также быть показать что,344
150,составить на тысяча население,344
151,с длина волна нм,342
152,что мочь свидетельствовать о,342
153,аналогичный результат быть получить,342
154,быть включить пациент с,339
155,это свидетельствовать о тот,339
