text_without_tags,freq
ишемический болезнь сердце ибс,3874
ада мм рт ст,2187
хронический обструктивный болезнь лёгкое,1920
хронический сердечный недостаточность хсн,1787
сад мм рт ст,1662
дада мм рт ст,1625
р р р р,1588
соавт соавт соавт соавт,1413
фактор некроз опухоль фно,1397
фракция выброс левый желудочек,1377
уровень возрастать неблагоприятный прогноз,1377
скф мл мина метр,1365
сахарный диабет го тип,1357
ил ил ил ил,1307
том б литр ц,1246
индекс масса тело имт,1182
ткань уровень возрастать неблагоприятный,1159
ме й й перцентиль,1110
избыточный масса тело ожирение,1105
га ткф га ткф,1092
га га га га,1002
федеральный орган исполнительный власть,1001
являться независимый фактор риска,908
исследование быть включить пациент,894
отделение реанимация интенсивный терапия,871
острый коронарный синдром окс,854
острый нарушение мозговой кровообращение,846
российский академия народный хозяйство,814
всемирный организация здравоохранение воз,792
скорость клубочковый фильтрация скф,782
доход население составляющий е,780
народный хозяйство государственный служба,774
являться фактор риска развитие,749
мужчина женщина возраст год,741
хронический болезнь почка хбп,719
государственный служба президент рф,692
далее метр наш профессор,685
эффект перенос обменный курс,684
федеральный служба государственный статистика,672
сад дада мм рт,667
премия частное сектор мужчина,658
нестероидный противовоспалительный препарат нпвп,656
согласно который обратный величина,648
страна доход коэффициент джиня,648
год средний возраст год,646
систолический ада мм рт,636
метод наименьший квадрат приниматься,624
га га тетр га,622
минеральный плотность костный ткань,612
менее мм рт ст,612
данные всемирный организация здравоохранение,592
пдква сантиметр вод ст,589
частота сердечный сокращение чсс,584
обратный величина гра сантиметр,576
гра сантиметр также согласно,576
система ипэя российский академия,570
х год прошлое век,564
ингибитор ангиотензинпревращать фермент иапф,549
га тетр га тетр,546
процесс перекисный окисление липид,542
ин правило пять липинский,540
индекс масса тело килограмм,537
искусственный вентиляция лёгкое ивл,536
артериальный гипертензия сахарный диабет,524
цель настоящий работа являться,524
гипертрофия миокард левый желудочек,523
ммоль сут год сут,522
федеральный государственный образовательный стандарт,522
генно-инженерный биологический препарат гибп,521
рт ст дада мм,519
рекомендация европейский общество кардиолог,518
фактор рост эндотелий сосуд,514
указ президент российский федерация,505
базисный противовоспалительный препарат бпвп,487
системный красный волчанка скв,481
конец х начало х,477
играть важный роль развитие,476
два половина х год,475
автор ответственный переписка тело,472
активный форма кислород афк,471
общий холестерин ммоль литр,468
больной острый коронарный синдром,468
квантиль метод наименьший квадрат,468
мм рт ст диастолический,467
слизистый оболочка полость рот,466
белорусский национальный технический университет,466
га ткф га га,460
развитие налоговый система ипэя,456
постановление правительство российский федерация,455
рак молочный железа рмж,446
имт индекс масса тело,445
фактор некроз опухоль альфа,440
холестерин липопротеид низка плотность,439
больной сд го тип,438
установка подвеска трасса метр,437
подвес лента рассчитать зависимость,437
объёмный плотность транспортировать груз,437
угол естественный откос груз,437
расстояние точка подвес лента,437
трасса метр расстояние точка,437
центральный нервный система цнс,435
чрескожный коронарный вмешательство чкв,434
отрицательный весь выборка незначимый,432
человеческий капитал рассматриваться одновременно,432
площадь поперечный сечение относительный,431
лента рассчитать зависимость град,428
горизонт борт лента рассчитать,428
угол наклон горизонт борт,428
усилие приложить приводной подвеска,428
достижение целевой уровень ада,426
социально-экономический развитие российский федерация,425
литр хс лпнп ммоль,422
мм рт ст процент,420
скорость распространение пульсовый волна,414
холестерин липопротеин низка плотность,413
острый инфаркт миокард оим,413
пациент сд го тип,411
активность симпатический нервный система,408
поток свежеть газовый смесь,408
литр хс лпвп ммоль,407
класс рекомендация уровень доказательность,399
который играть важный роль,399
продукт перекисный окисление липид,398
х год прошлое столетие,397
уровень артериальный давление ада,397
град грскорость транспортирование расчётный,394
откос груз град грскорость,394
расчёт ндс оптимизация мк,394
метр пшаг установка подвеска,394
оптимизация мк нсприводной подвеска,394
транспортирование расчётный метр пшаг,394
сосудистый эндотелиальный фактор рост,394
особо опасный инфекция вып,392
сумма инвестиция тысяча рубль,392
основный фактор риска развитие,390
исследование быть включить больной,389
фактор риска сердечно-сосудистый заболевание,388
независимый фактор риска развитие,386
сша европа япония квартал,384
доза мг килограмм сут,381
