,0,1
0,а также,97231
1,в год,93148
2,пациент с,92376
3,у пациент,76825
4,и в,76386
5,один из,68164
6,у больной,68062
7,при это,60832
8,мочь быть,57120
9,в тот,54508
10,и др,54240
11,сравнение с,50666
12,так и,50144
13,в качество,46253
14,по данные,45713
15,в течение,44279
16,приводить к,43812
17,и соавт,43436
18,тот что,42084
19,по сравнение,40996
20,больной с,40192
21,в случай,40152
22,в работа,39538
23,что в,39457
24,такой образ,39361
25,связать с,37620
26,настоящее время,37536
27,в настоящее,37180
28,не только,36896
29,с помощь,36247
30,год в,35449
31,от до,34852
32,связь с,34279
33,тот число,33946
34,на основа,33788
35,в который,33349
36,но и,32541
37,в результат,32421
38,в один,31023
39,в частность,30492
40,показать что,30124
41,кроме тот,29902
42,связанный с,29487
43,у ребёнок,29015
44,в связь,28693
45,и другой,28481
46,в то,28047
47,в исследование,27945
48,в вид,27589
49,за счёт,26945
50,в группа,26722
51,показать что,25940
52,несмотря на,25292
53,а в,25260
54,с использование,24939
55,на фон,24726
56,зависимость от,24405
57,о тот,23389
58,в свой,22841
59,в этот,22564
60,так как,22471
61,в условие,22425
62,влияние на,22406
63,в целое,22235
64,в соответствие,22116
65,соответствие с,22053
66,в раз,21976
67,в россия,21793
68,том е,21752
69,в время,21703
70,в последний,21521
71,в процесс,21351
72,в рамка,21348
73,в область,20520
74,дать о,19998
75,в зависимость,19901
76,и том,19896
77,с учёт,19624
78,не менее,19391
79,с другой,19341
80,и с,19042
81,год и,18973
82,в отношение,18706
83,зависеть от,18687
84,в дать,18648
85,и они,18597
86,отметить что,18520
87,исследование в,18253
88,то же,18128
89,в наш,17883
90,последний год,17737
91,и на,17558
92,в это,17507
93,до год,17419
94,быть показать,17326
95,фактор риска,17234
96,и не,17232
97,свидетельствовать о,17172
98,роль в,17168
99,представлять себя,17085
100,такой как,17069
101,то что,16973
102,российский федерация,16913
103,из они,16778
104,который в,16440
105,же время,16130
106,как и,15866
107,известно что,15794
108,с цель,15729
109,с тем,15661
110,как в,15389
111,тот же,15328
112,не быть,15227
113,точка зрение,15159
114,и при,15157
115,в в,15156
116,как правило,14958
117,в весь,14873
118,в ряд,14813
119,установить что,14767
120,и он,14614
121,в возраст,14573
122,риск развитие,14301
123,и или,14291
124,подход к,14236
125,исследование и,14097
126,ребёнок с,14052
127,ответ на,14003
128,с высокий,13861
129,что при,13852
130,изменение в,13741
131,с это,13566
132,более высокий,13558
133,х год,13556
134,на основание,13296
135,вместе с,13292
136,головной мозг,13160
137,по мнение,13134
138,в ход,13013
139,в период,12980
140,том далее,12955
141,в и,12908
142,высокий уровень,12877
143,который быть,12660
144,отличие от,12658
145,в основное,12655
146,результат исследование,12587
147,в среднее,12567
148,и более,12473
149,отношение к,12456
150,чем в,12408
151,исследование быть,12386
152,на уровень,12328
153,должный быть,12288
154,только в,12283
155,масса тело,12218
156,и у,12211
157,и соответственно,12149
158,для оценка,12086
159,который мочь,12081
160,возраст год,12017
161,при использование,11967
162,не мочь,11933
163,влиять на,11845
164,пациент в,11821
165,в отличие,11810
166,тем что,11798
167,у женщина,11683
168,то время,11681
169,что у,11666
170,в развитие,11655
171,с год,11630
172,в состав,11476
173,клинический исследование,11468
174,прежде всего,11442
175,основать на,11423
176,в основа,11310
177,время как,11288
178,в кровь,11278
179,и для,11271
180,тем не,11222
181,в предел,11093
182,с в,11073
183,процесс в,10990
184,качество жизнь,10985
185,и развитие,10974
186,год быть,10963
187,который являться,10938
188,однако в,10867
189,работа в,10832
190,и метод,10807
191,в большинство,10741
192,на то,10642
193,в различный,10600
194,наряду с,10584
195,следовать отметить,10419
196,в они,10406
197,чем у,10356
198,с и,10352
199,связь между,10344
200,риска развитие,10326
201,воздействие на,10294
202,или иной,10284
203,заключаться в,10233
204,с сторона,10223
205,свой очередь,10209
206,в литература,10171
207,с с,10171
208,указывать на,10131
209,один очередь,10129
210,мм рт,10122
211,рт ст,10099
212,на рис,10062
213,в общий,10001
214,быть выявить,9963
215,число и,9863
216,в сша,9861
217,для лечение,9823
218,относиться к,9820
219,в страна,9808
220,при наличие,9785
221,в клинический,9776
222,сочетание с,9747
223,из который,9743
224,а а,9737
225,а и,9727
226,раз в,9656
227,вопрос о,9629
228,то есть,9619
229,в себя,9583
230,в российский,9541
231,с один,9532
232,являться один,9482
233,в доза,9470
234,привести к,9460
235,по результат,9397
236,сахарный диабет,9361
237,так в,9351
238,представить в,9329
239,в система,9249
240,в другой,9227
241,так называть,9211
242,в сочетание,9177
243,более чем,9156
244,время в,9048
245,направить на,9045
246,инфаркт миокард,9032
247,в сравнение,8992
248,также в,8981
249,тот или,8974
250,и по,8808
251,доза мг,8735
252,на территория,8671
253,при который,8648
254,различие в,8631
255,показывать что,8613
256,находиться в,8608
257,и и,8575
258,информация о,8569
259,материал и,8556
260,с по,8497
261,у мужчина,8478
262,клетка и,8478
263,сердечный недостаточность,8436
264,например в,8413
265,в современный,8407
266,клинический практика,8375
267,мг сут,8355
268,на протяжение,8350
269,человек в,8302
270,год с,8297
271,важный роль,8271
272,мг килограмм,8232
273,при лечение,8171
274,контрольный группа,8160
275,у лицо,8139
276,наш исследование,8132
277,год год,8101
278,и как,8086
279,в дальнейший,8072
280,в сыворотка,8057
281,в структура,8050
282,боль в,8030
283,сыворотка кровь,8020
284,исследование по,8018
285,сегодняшний день,8008
286,левый желудочек,7985
287,для определение,7947
288,быть получить,7942
289,тогда как,7923
290,заболевание и,7913
291,в некоторый,7901
292,каждый из,7888
293,с точка,7881
294,заболевание в,7880
295,по год,7869
296,на сегодняшний,7857
297,в мир,7852
298,повышение уровень,7813
299,участие в,7810
300,представление о,7798
301,считать что,7788
302,в клетка,7718
303,который не,7704
304,эффективность и,7685
305,с применение,7673
306,за год,7660
307,коррелировать с,7654
308,в настоящий,7652
309,но не,7640
310,в разный,7598
311,ребёнок в,7581
312,побочный эффект,7581
313,а не,7578
314,работа по,7523
315,с последующий,7516
316,препарат в,7515
317,нервный система,7513
318,не являться,7506
319,быть провести,7501
320,с развитие,7486
321,клинический проявление,7463
322,наиболее часто,7445
323,ассоциироваться с,7436
324,к он,7433
325,при проведение,7430
326,что приводить,7337
327,клетка в,7332
328,выше чем,7325
329,а с,7324
330,система в,7278
331,год на,7266
332,у который,7249
333,лицо с,7241
334,в сфера,7207
335,большой количество,7193
336,в лечение,7190
337,иметь место,7174
338,по отношение,7143
339,большинство случай,7135
340,медицинский помощь,7114
341,и к,7102
342,и она,7083
343,исследование показать,7075
344,основать на,7071
345,рекомендация по,7055
346,с до,7006
347,больной в,6993
348,год по,6987
349,развитие и,6971
350,настоящий время,6911
351,работа и,6906
352,фактор рост,6902
353,не иметь,6900
354,приводить к,6894
355,на поверхность,6885
356,и мочь,6875
357,к снижение,6859
358,в организм,6770
359,чаща всего,6738
360,в многий,6736
361,сведение о,6729
362,из наиболее,6692
363,окружающий среда,6670
364,система и,6661
365,в начало,6659
366,ммоль литр,6646
367,с соавтор,6636
368,другой сторона,6631
369,по повод,6626
370,исследование с,6621
371,тем самый,6615
372,иммунный ответ,6613
373,на один,6603
374,в конец,6591
375,снижение уровень,6570
376,течение год,6566
377,слизистый оболочка,6487
378,один сторона,6486
379,дать работа,6481
380,группа пациент,6475
381,старший год,6469
382,при помощь,6447
383,в такой,6430
384,в он,6415
385,а б,6413
386,к развитие,6410
387,они в,6401
388,метод лечение,6398
389,в она,6394
390,антитело к,6391
391,и лечение,6387
392,дыхательный путь,6376
393,и а,6370
394,что мочь,6368
395,более тот,6356
396,один и,6347
397,р р,6336
398,соавт и,6332
399,и год,6329
400,и снижение,6322
401,в табла,6292
402,по формула,6254
403,хирургический лечение,6240
404,ассоциированный с,6237
405,исходить из,6232
406,с различный,6226
407,вести к,6217
408,человек и,6214
409,в том,6208
410,лечение больной,6193
411,высокий риск,6183
412,быть установить,6183
413,артериальный гипертензия,6179
414,дать по,6178
415,что для,6166
416,не всегда,6160
417,в зона,6154
418,независимо от,6149
419,отличаться от,6145
420,у человек,6143
421,место в,6142
422,при отсутствие,6123
423,к год,6120
424,за последний,6119
425,так же,6115
426,метр с,6107
427,необходимый для,6107
428,послеоперационный период,6101
429,последний время,6098
430,работа с,6056
431,го тип,6052
432,это в,6044
433,потребность в,6038
434,на весь,6026
435,больной ра,6024
436,что позволять,5995
437,ассоциировать с,5989
438,после операция,5979
439,получить в,5975
440,по шкала,5963
441,год после,5948
442,рассматриваться как,5902
443,у взрослый,5897
444,с они,5897
445,в многое,5893
446,в сила,5891
447,в плазма,5888
448,с он,5869
449,согласоваться с,5838
450,в а,5810
451,быть обнаружить,5805
452,россия в,5796
453,и высокий,5792
454,привести к,5789
455,терапия в,5788
456,на они,5762
457,и тот,5756
458,год а,5754
459,в патогенез,5752
460,артериальный давление,5744
461,но в,5735
462,что и,5729
463,лечение в,5727
464,том число,5704
465,база дать,5689
466,том плата,5688
467,группа в,5687
468,отмечать что,5682
469,и безопасность,5679
470,что на,5660
471,с дать,5656
472,на и,5649
473,в статья,5624
474,исследование провести,5621
475,на тысяча,5603
476,с соавт,5589
477,характерный для,5586
478,лекарственный средство,5581
479,условие для,5578
480,тот чтобы,5575
481,в день,5554
482,до сей,5553
483,и являться,5545
484,ещё один,5540
485,сей пора,5524
486,до в,5514
487,кровь и,5495
488,в ранний,5489
489,быть отметить,5474
490,процесс и,5473
491,низкий уровень,5470
492,группа больной,5469
493,ребёнок и,5463
494,состоять из,5459
495,участвовать в,5458
496,состоять в,5449
497,по весь,5445
498,лекарственный препарат,5421
499,ряд исследование,5415
500,отметить что,5413
501,факт что,5409
502,в два,5409
503,лечение и,5406
504,частота развитие,5406
505,тенденция к,5403
506,и социальный,5402
507,решение задача,5393
508,в ответ,5393
509,значение в,5384
510,с увеличение,5369
511,провести в,5359
512,затрата на,5348
513,мужчина и,5346
514,влиять на,5345
515,иммунный система,5345
516,население в,5334
517,в с,5321
518,у весь,5306
519,возрастной группа,5304
520,на который,5294
521,страна в,5286
522,это случай,5264
523,в е,5247
524,для каждый,5242
525,вклад в,5240
526,применение в,5238
527,весь пациент,5227
528,оценка эффективность,5219
529,болевой синдром,5212
530,для решение,5212
531,или в,5206
532,в более,5195
533,для весь,5194
534,а при,5189
535,болезнь сердце,5184
536,по мера,5181
537,использование в,5178
538,получить результат,5173
539,коленный сустав,5171
540,давление в,5169
541,сердечно-сосудистый заболевание,5168
542,включать в,5160
543,в больший,5158
544,пациент и,5152
545,метод в,5151
546,вывод что,5147
547,в каждый,5134
548,использоваться в,5130
549,период с,5120
550,тот в,5110
551,га га,5105
552,в анамнез,5097
553,мочь привести,5075
554,образование в,5070
555,мутация в,5064
556,ил ил,5059
557,группа с,5054
558,состоять из,5053
559,метод исследование,5051
560,опухолевый клетка,5050
561,к тот,5047
562,у они,5046
563,при анализ,5039
564,на год,5025
565,смертность от,5021
566,цель исследование,5000
567,число в,5000
568,вывод о,4996
569,из основный,4993
570,устойчивость к,4969
571,а именно,4957
572,структура и,4956
573,на этот,4947
574,результат и,4934
575,составлять от,4934
576,не более,4911
577,в ткань,4906
578,внимание на,4902
579,и быть,4898
580,е год,4894
581,взаимодействие с,4891
582,и повышение,4878
583,к увеличение,4867
584,что они,4860
585,молочный железа,4855
586,экспрессия ген,4855
587,в сутки,4850
588,считаться что,4841
589,в значительный,4835
590,как следствие,4834
591,высокий частота,4828
592,в таблица,4825
593,ген и,4823
594,женщина в,4787
595,настоящий работа,4781
596,снижение риска,4773
597,на рынок,4771
598,работа быть,4762
599,и уровень,4759
600,метр и,4754
601,до и,4744
602,фактор в,4744
603,костный ткань,4742
604,тот факт,4741
605,особенно в,4741
606,для это,4732
607,предположить что,4721
608,на ранний,4719
609,и даже,4716
610,метр в,4700
611,ещё в,4691
612,требование к,4689
613,последний десятилетие,4684
614,коронарный артерия,4677
615,приводить к,4677
616,введение в,4675
617,лечение пациент,4674
618,человек с,4672
619,в формирование,4664
620,взаимосвязь между,4652
621,летальный исход,4642
622,что этот,4639
623,участвовать в,4638
624,на он,4635
625,клинический картина,4631
626,ишемический болезнь,4625
627,для тот,4622
628,в эксперимент,4611
629,наш страна,4587
630,экспериментальный исследование,4582
631,орган и,4581
632,для получение,4579
633,образование и,4573
634,через год,4562
635,не позволять,4560
636,не в,4559
637,хирургический вмешательство,4558
638,сантиметр рис,4554
639,случай когда,4552
640,жизнь и,4551
641,и увеличение,4544
642,с более,4541
643,деятельность в,4537
644,уровень в,4536
645,результат лечение,4531
646,он в,4518
647,с а,4513
648,ряд автор,4508
649,такой же,4508
650,рост и,4508
651,как известно,4505
652,использовать в,4499
653,в ген,4489
654,воспалительный процесс,4488
655,к сожаление,4483
656,полагать что,4476
657,различие между,4467
658,при применение,4450
659,исследование на,4448
660,они не,4440
661,год до,4435
662,этот дать,4429
663,сантиметр например,4426
664,том к,4423
665,наиболее распространить,4422
666,на развитие,4416
667,патологический процесс,4398
668,средний возраст,4396
669,плазма кровь,4396
670,статистически значимый,4395
671,встречаться в,4384
672,ранний стадия,4368
673,что не,4368
674,этот группа,4365
675,и после,4360
676,действие на,4357
677,не выявить,4338
678,предполагаться что,4325
679,в популяция,4322
680,быть разработать,4313
681,в режим,4313
682,результат в,4307
683,продолжительность жизнь,4307
684,борьба с,4304
685,направить на,4294
686,этот показатель,4293
687,другой автор,4287
688,ткань и,4287
689,в метр,4278
690,оперативный вмешательство,4271
691,физический нагрузка,4271
692,женщина с,4264
693,в последующий,4262
694,при ра,4258
695,начинать с,4233
696,способность к,4228
697,наиболее частый,4211
698,для расчёт,4200
699,на в,4196
700,быть использовать,4193
701,что он,4191
702,исследование у,4183
703,случай в,4182
704,провоспалительный цитокин,4180
705,корреляция между,4174
706,в польза,4173
707,в регион,4165
708,для который,4162
709,возраст от,4153
710,и клинический,4153
711,ключевой слово,4148
712,на база,4146
713,очевидно что,4140
714,терапия и,4121
715,высокий риска,4119
716,этот связь,4110
717,с повышенный,4104
718,активность и,4102
719,только на,4101
720,образ в,4098
721,пациент получать,4096
722,активность в,4091
723,показатель в,4091
724,при оценка,4073
725,быть использовать,4073
726,а затем,4068
727,с который,4064
728,не превышать,4064
729,главное образ,4056
730,функция и,4053
731,и от,4050
732,доказать что,4030
733,мы быть,4024
734,провести исследование,4024
735,через мес,4018
736,чем при,4018
737,под влияние,4017
738,более низкий,4017
739,значение для,4015
740,мочь служить,4014
741,в оба,4009
742,для проведение,4007
743,для пациент,3998
744,с участие,3997
745,цена на,3996
