text_without_tags,freq
мм рт ст,12485
фактор риска развитие,5873
начало х год,5162
ишемический болезнь сердце,5064
играть важный роль,4535
доза мг сут,3637
средний возраст год,3487
который свой очередь,3436
конец х год,2981
центральный нервный система,2956
частота сердечный сокращение,2888
качество жизнь пациент,2876
артериальный давление ада,2865
высокий риск развитие,2747
сд го тип,2742
хронический сердечный недостаточность,2726
сравнение контрольный группа,2640
субъект российский федерация,2600
хронический болезнь почка,2592
рак молочный железа,2572
активный форма кислород,2440
острый коронарный синдром,2356
середина х год,2350
сахарный диабет тип,2214
артериальный гипертензия ага,2181
острый инфаркт миокард,2160
независимый фактор риска,2124
плата дпереть мство,2104
избыточный масса тело,2093
возраст старший год,2084
исследование быть включить,2065
доза мг килограмм,2044
сердечно-сосудистый заболевание ссз,2030
нарушение мозговой кровообращение,2014
российский федерация год,1995
реальный клинический практика,1949
фактор некроз опухоль,1933
быть включить пациент,1920
имт килограмм метр,1908
качество жизнь больной,1908
уровень возрастать неблагоприятный,1907
возрастать неблагоприятный прогноз,1907
оказание медицинский помощь,1865
результат быть получить,1855
артериальный гипертония ага,1820
орган государственный власть,1790
ранний послеоперационный период,1776
год прошлое век,1773
цель настоящий исследование,1751
нарушение ритм сердце,1744
цель настоящий работа,1734
инфаркт миокард имя,1665
больной сахарный диабет,1663
являться фактор риска,1644
играть ключевой роль,1629
нарушение функция почка,1620
темп экономический рост,1619
возрастной группа год,1597
индекс масса тело,1593
источник составить автор,1583
статистически значимый различие,1578
рандомизировать клинический исследование,1561
нарушение углеводный обмен,1558
биологически активный вещество,1552
верхний дыхательный путь,1540
наиболее частый причина,1534
пациент старший год,1497
перенести инфаркт миокард,1485
мл мина метр,1474
высокий учебный заведение,1447
настоящее время существовать,1445
улучшение качество жизнь,1433
рандомизировать контролировать исследование,1426
скорость клубочковый фильтрация,1425
лицо старший год,1423
нестероидный противовоспалительный препарат,1393
сахарный диабет сд,1388
год быть опубликовать,1382
настоящее время являться,1382
оказывать существенный влияние,1375
повышать риск развитие,1328
б литр ц,1326
острый нарушение мозговой,1265
толерантность физический нагрузка,1264
длина волна нм,1242
повышенный риск развитие,1232
важный роль играть,1228
являться независимый предиктор,1225
режим реальный время,1218
особый интерес представлять,1217
наиболее часто встречаться,1206
уровень артериальный давление,1201
являться независимый фактор,1201
снижение масса тело,1198
являться наиболее распространить,1186
дать быть получить,1182
гипертрофия левый желудочек,1181
позволять сделать вывод,1180
хронический почечный недостаточность,1155
занимать е место,1150
год прошлое столетие,1136
подавлять большинство случай,1120
развитие инфаркт миокард,1114
р р р,1113
первичный конечный точка,1111
трансформировать фактор рост,1109
федеральный закон фз,1106
ранее провести исследование,1106
достижение целевой уровень,1105
левый желудочек лж,1103
всемирный организация здравоохранение,1103
быть провести исследование,1100
системный воспалительный ответ,1100
территория российский федерация,1098
увеличение продолжительность жизнь,1096
