text,freq
а также,151695
пациентов с,114416
у пациентов,113011
и в,112203
у больных,107073
при этом,92748
в г,88258
и др,81703
так и,79131
в том,74792
в качестве,72642
по данным,68783
в течение,64923
по сравнению,63353
таким образом,60611
что в,59586
сравнению с,58821
может быть,57630
не только,57337
настоящее время,57144
в настоящее,56772
больных с,56087
с помощью,55511
и соавт,54426
том числе,53394
приводит к,53035
на основе,52693
но и,49803
от до,49407
в частности,49022
том что,48957
в результате,47997
показано что,47258
связи с,46327
кроме того,45999
в работе,45303
в связи,44017
в то,43800
за счет,40443
несмотря на,39296
о том,37517
на фоне,37495
в рамках,37167
с использованием,36751
у детей,36536
одним из,36206
в виде,35797
в россии,35636
а в,35589
в целом,35416
зависимости от,35363
в условиях,34164
так как,33820
в соответствии,32679
т е,31430
в группе,31310
и т,31096
соответствии с,31044
не менее,30935
в зависимости,30162
российской федерации,29563
в отношении,29314
во время,29139
отметить что,28819
в области,28507
в исследовании,28171
то же,27563
с учетом,27381
то что,27381
могут быть,27299
и на,27240
и с,26928
и их,26739
в случае,26573
из за,26493
в этом,26410
и не,26407
в процессе,25927
же время,25080
в году,25060
в случаев,25023
из них,24851
известно что,24419
с тем,24405
как и,24277
как в,24047
роль в,24045
связано с,24033
установлено что,23232
было показано,23171
с целью,23146
одной из,23066
как правило,22979
г в,22879
влияние на,22680
показали что,22326
и или,22189
и при,21930
в раза,21694
в возрасте,21581
в ряде,21287
зависит от,21040
что при,21040
и его,21012
в которых,20834
в в,20641
вместе с,20392
точки зрения,20378
по мнению,20283
в работах,20134
т д,20027
и других,19954
на основании,19908
в последние,19896
с этим,19845
для оценки,19735
в ходе,19650
в основном,19600
у женщин,19459
чем в,19242
представляет собой,19063
мм рт,19016
рт ст,18974
сердечно сосудистых,18937
в среднем,18920
и соответственно,18719
и более,18710
то время,18695
тем что,18682
в и,18651
и у,18616
в крови,18571
в период,18519
отличие от,18515
только в,18436
тем не,18411
что у,18330
в отличие,18192
данные о,18125
прежде всего,17997
в этой,17946
время как,17793
последние годы,17529
при использовании,17184
в свою,17072
риск развития,16948
на то,16942
и для,16807
однако в,16713
с другой,16665
чем у,16438
то есть,16403
свою очередь,16382
в сша,16281
на уровне,16232
в первую,16188
в большинстве,16133
следует отметить,16065
в литературе,15864
до лет,15786
по результатам,15752
со стороны,15738
в развитии,15686
первую очередь,15424
наряду с,15365
риска развития,15262
в котором,15246
в пределах,15240
при наличии,15214
связанных с,15015
и другие,14983
с в,14910
головного мозга,14836
в данном,14649
левого желудочка,14644
во всех,14584
у лиц,14545
более чем,14500
так в,14405
например в,14324
в сравнении,14277
у мужчин,14277
детей с,14216
того что,14167
сравнении с,14153
один из,14129
таких как,14125
ммоль л,14094
на рис,13971
и по,13932
с и,13826
в различных,13791
в сочетании,13628
для лечения,13560
связанные с,13517
а и,13475
также в,13429
в основе,13290
из которых,13279
сочетании с,13148
не было,13115
с точки,13041
в данной,12846
на протяжении,12838
с другими,12805
тогда как,12617
и как,12592
с г,12589
а а,12556
а не,12484
с по,12472
заключается в,12415
пациентов в,12284
сердечно сосудистой,12267
влияет на,12253
в которой,12168
в российской,12052
выше чем,12013
и и,11983
в дозе,11978
в мире,11973
на сегодняшний,11911
при лечении,11856
сегодняшний день,11828
в сфере,11810
при проведении,11779
мг сут,11749
с с,11736
ответ на,11719
и методы,11699
для определения,11630
в гг,11549
но не,11527
массы тела,11503
к снижению,11374
с одной,11309
свидетельствуют о,11193
на территории,11176
в дальнейшем,11166
в раз,11066
с развитием,11040
с применением,11030
связаны с,11017
что приводит,11000
лиц с,10940
по отношению,10903
в структуре,10891
в этих,10871
с высоким,10831
числе и,10740
мг кг,10723
г и,10703
в системе,10673
в других,10656
в себя,10643
другой стороны,10632
в сыворотке,10612
в странах,10600
наиболее часто,10595
в некоторых,10591
в нашем,10539
во многих,10512
факторов риска,10506
а с,10493
связана с,10483
тем самым,10476
отношению к,10396
одной стороны,10381
в конце,10378
х гг,10350
дозе мг,10349
более того,10345
по поводу,10253
в т,10211
с до,10209
из наиболее,10206
в исследованиях,10183
свидетельствует о,10170
в год,10133
в лечении,10101
в начале,10031
исследования в,10027
важную роль,10021
время в,9988
независимо от,9956
при помощи,9950
показал что,9916
и ее,9888
в последнее,9863
возрасте лет,9820
чаще всего,9801
изменения в,9798
к развитию,9793
и к,9784
влияния на,9736
у которых,9736
вопрос о,9676
большинстве случаев,9643
в плазме,9635
высокий уровень,9613
исследований в,9581
р р,9545
исходя из,9539
не может,9525
в составе,9503
в них,9466
пациенты с,9449
не всегда,9359
что может,9347
привести к,9309
т ч,9308
связан с,9281
мужчин и,9277
при отсутствии,9266
во многом,9234
что для,9204
и а,9154
лет и,9117
старше лет,9113
связь между,9006
такие как,8956
в одном,8950
сердечной недостаточности,8869
в нашей,8856
х годов,8830
что на,8813
с высокой,8783
в табл,8760
россии в,8745
нервной системы,8743
в разных,8719
что позволяет,8705
в силу,8703
в е,8697
с соавторами,8643
приводят к,8570
с увеличением,8529
что и,8519
в более,8513
качества жизни,8512
до сих,8498
последнее время,8485
сыворотке крови,8484
в организме,8472
сих пор,8469
т п,8432
так же,8374
в исследование,8304
крови и,8303
но в,8289
см с,8284
инфаркта миокарда,8243
в общей,8229
не является,8211
населения в,8200
представлены в,8166
в статье,8164
до в,8150
медицинской помощи,8136
в патогенезе,8132
после операции,8129
лет в,8114
с соавт,8094
по шкале,8088
больных в,8084
относится к,8057
одного из,8053
на поверхности,8053
были получены,8052
в анамнезе,8040
м с,8036
в ответ,8032
клинической практике,8020
